Player name,Appearances,Goals Overview,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Yellow cards,Red cards,Fouls,Offsides,Tackles,Blocked shots,Interceptions,Clearances,Headed clearance
Terry Ablade,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy Abraham,89,26,36,33,26,0.29,3,20,1,0,0,164,68,41%,3,30,5,922,10.36,7,32,2,0,56,39,25,31,12,55,45
Adam Armstrong,52,3,8,32,3,0.06,0,1,2,0,0,71,23,32%,0,5,4,570,10.96,4,39,2,0,28,4,24,19,6,10,7
Adama Traoré,172,9,49,76,9,0.05,1,7,1,0,0,149,41,28%,6,9,14,"2,551",14.83,23,547,8,0,142,30,122,55,34,40,22
Simon Adingra,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Akinwale,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julián Álvarez,12,3,10,2,3,0.25,0,2,1,0,0,11,6,55%,1,2,0,114,9.5,1,5,0,0,6,1,7,3,0,1,1
William Alves,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin Andone,26,4,5,14,4,0.15,2,2,0,0,0,20,9,45%,0,3,0,177,6.81,0,5,5,1,30,4,11,6,3,13,6
Jaidon Anthony,10,2,3,4,2,0.2,1,1,0,0,0,6,5,83%,0,0,0,86,8.6,0,5,0,0,1,1,6,1,0,5,5
Michail Antonio,209,58,80,80,58,0.28,21,28,10,1,0,458,174,38%,20,53,28,"3,834",18.34,32,419,24,2,240,94,153,111,136,147,75
Antony,6,3,3,1,3,0.5,0,0,3,0,0,20,9,45%,1,0,0,208,34.67,0,11,1,0,2,0,8,5,3,1,0
Cameron Archer,9,0,3,5,0,9,0,0,0,0,0,1,0,1%,0,0,0,15,1.67,0,1,0,0,5,1,0,1,0,0,0
Pierre-Emerick Aubameyang,134,69,63,43,69,0.51,4,53,12,9,1,316,144,46%,12,52,16,"2,699",20.14,19,200,9,1,58,80,80,76,34,59,19
Taiwo Awoniyi,13,3,2,8,3,0.23,1,2,0,0,0,15,6,40%,2,6,0,92,7.08,1,1,0,0,6,7,5,0,1,7,4
Jordan Ayew,215,29,58,105,29,0.13,5,19,5,2,0,289,97,34%,8,19,16,"4,533",21.08,17,267,25,2,324,49,338,102,110,89,55
Leon Bailey,32,4,10,19,4,0.12,0,0,4,0,0,38,14,37%,3,1,4,376,11.75,6,81,7,0,27,9,23,12,3,5,4
Dominic Ballard,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Folarin Balogun,2,0,0,2,0,2,0,0,0,0,0,3,0,3%,0,0,0,9,4.5,0,0,0,0,0,1,1,0,0,1,1
Patrick Bamford,84,20,25,42,20,0.24,3,2,15,2,0,161,68,42%,5,34,10,864,10.29,8,15,6,0,68,33,39,29,18,56,38
Louie Barry,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saïd Benrahma,75,11,32,29,11,0.15,1,10,0,1,0,127,43,34%,4,8,13,"1,508",20.11,11,144,0,0,26,14,60,40,20,14,3
Christian Benteke,280,86,87,129,86,0.31,33,41,12,10,1,654,255,39%,20,95,22,"6,539",23.35,33,39,39,4,408,227,98,134,32,286,209
Steven Bergwijn,60,7,33,17,7,0.12,0,7,0,0,0,43,20,47%,1,8,5,825,13.75,2,31,6,0,36,2,28,8,7,19,2
Bernard,73,5,25,33,5,0.07,0,5,0,0,0,41,12,29%,2,5,5,"1,598",21.89,7,101,9,0,42,2,89,16,51,24,5
Mika Biereth,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Blair,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michy Batshuayi,77,15,41,26,15,0.19,1,8,6,0,0,84,31,37%,1,12,4,584,7.58,2,8,0,0,36,40,18,24,10,10,8
Saïd Benrahma,75,11,32,29,11,0.15,1,10,0,1,0,127,43,34%,4,8,13,"1,508",20.11,11,144,0,0,26,14,60,40,20,14,3
Christian Benteke,280,86,87,129,86,0.31,33,41,12,10,1,654,255,39%,20,95,22,"6,539",23.35,33,39,39,4,408,227,98,134,32,286,209
Steven Bergwijn,60,7,33,17,7,0.12,0,7,0,0,0,43,20,47%,1,8,5,825,13.75,2,31,6,0,36,2,28,8,7,19,2
Mika Biereth,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Blair,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod Bowen,109,23,42,46,23,0.21,2,3,16,1,0,195,65,33%,6,27,19,"1,929",17.7,25,382,6,0,53,36,105,75,71,22,11
Nathan Broadhead,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0
Armando Broja,45,7,14,16,7,0.16,0,7,0,0,0,51,26,51%,2,8,0,450,10,2,8,2,0,31,16,16,9,4,12,7
Mason Burstow,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Calvert-Lewin,170,46,64,70,46,0.27,19,21,5,2,0,310,133,43%,7,52,11,"2,581",15.18,14,57,23,0,197,64,71,54,38,132,108
Leonardo Campana,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Cannon,1,0,0,1,0,1,0,0,0,0,0,1,1,100%,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
Sergi Canós,36,3,10,17,3,0.08,1,2,0,0,0,34,13,38%,0,2,2,705,19.58,3,90,6,1,31,5,57,10,22,36,12
Carlos Vinícius,18,1,8,7,1,0.06,0,1,0,0,0,12,6,50%,0,1,0,104,5.78,0,4,3,0,17,4,3,3,2,8,7
Edinson Cavani,41,12,19,9,12,0.29,6,5,1,0,0,52,23,44%,1,13,4,566,13.8,6,6,4,0,28,12,16,11,8,16,11
Chiquinho,8,0,2,4,0,8,0,0,0,0,0,5,2,40%,0,1,3,75,9.38,2,25,0,0,9,0,9,1,2,1,0
Aaron Connolly,45,5,11,20,5,0.11,0,5,0,0,0,63,23,37%,0,11,2,257,5.71,2,11,0,0,22,22,13,18,0,4,3
Theo Corbeanu,1,0,0,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,2,2,0,1,0,0,0,0,2,0,1,0,0
Maxwel Cornet,31,9,5,17,9,0.29,1,2,6,0,1,51,23,45%,1,6,1,403,13,2,57,2,0,22,26,20,9,10,13,8
Cristiano Ronaldo,236,103,152,40,103,0.44,11,61,12,14,10,675,250,37%,16,15,37,"4,580",19.41,7,445,37,4,78,86,78,193,44,97,39
Patrick Cutrone,14,2,5,4,2,0.14,0,1,1,0,0,12,4,33%,0,2,0,61,4.36,1,6,0,0,5,4,4,3,2,1,1
Patson Daka,37,8,12,17,8,0.22,0,6,2,0,0,44,27,61%,1,7,5,355,9.59,5,5,4,0,28,12,22,9,5,14,8
Dale Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keinan Davis,34,1,6,17,1,0.03,0,0,1,0,0,26,7,27%,1,3,1,212,6.24,1,6,0,0,16,3,3,5,0,5,4
Bobby De Cordova-Reid,74,13,17,38,13,0.18,3,9,1,1,0,78,24,31%,2,6,5,"1,496",20.22,4,76,13,0,62,15,70,25,33,61,30
Liam Delap,2,0,1,1,0,2,0,0,0,0,0,1,0,1%,1,0,0,7,3.5,0,0,0,0,2,0,0,0,0,0,0
Halil Dervisoglu,1,0,0,0,0,1,0,0,0,0,0,1,0,1%,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Amad Diallo,3,0,1,1,0,3,0,0,0,0,0,1,1,100%,0,0,1,63,21,1,0,0,0,2,0,3,0,0,1,0
Luis Díaz,21,7,13,2,7,0.33,3,3,1,0,0,54,20,37%,2,5,5,686,32.67,4,21,2,0,26,5,19,18,6,2,1
Diego Costa,95,52,57,22,52,0.55,5,34,13,1,0,271,113,42%,7,31,16,"2,613",27.51,14,46,26,1,126,92,52,69,19,88,62
Diogo Jota,125,40,64,25,40,0.32,7,18,15,0,0,266,110,41%,6,43,11,"2,816",22.53,23,116,21,0,153,17,117,59,35,30,20
Ben Doak,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Dobbin,3,0,1,0,0,3,0,0,0,0,0,0,0,0%,0,0,0,8,2.67,0,0,1,0,1,0,2,0,0,0,0
Jamie Donley,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odsonne Édouard,41,9,13,13,9,0.22,1,4,4,1,0,57,26,46%,3,7,5,596,14.54,3,9,7,0,39,8,27,13,2,27,19
Samuel Edozie,8,0,0,6,0,8,0,0,0,0,0,2,2,100%,0,1,0,53,6.62,0,2,0,0,0,0,2,0,2,2,1
Khayon Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anwar El Ghazi,73,15,21,38,15,0.21,0,14,1,6,0,124,53,43%,5,11,5,"1,114",15.26,6,208,7,0,46,19,41,27,20,24,13
Anthony Elanga,33,3,15,11,3,0.09,2,1,0,0,0,30,11,37%,1,5,3,571,17.3,5,28,0,0,11,7,32,5,11,9,6
Noam Emeran,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julio Enciso,2,0,1,1,0,2,0,0,0,0,0,4,3,75%,0,0,0,14,7,0,0,1,0,3,0,1,1,0,0,0
Fábio Silva,54,4,19,28,4,0.07,0,3,1,1,0,67,23,34%,2,8,3,459,8.5,2,7,2,0,33,9,9,21,5,6,4
Evan Ferguson,1,0,0,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0
Marcus Forss,7,0,2,5,0,7,0,0,0,0,0,5,0,5%,0,0,1,36,5.14,1,1,0,0,3,0,3,3,1,0,0
Gabriel Jesus,173,63,133,20,63,0.36,12,33,18,3,0,393,180,46%,11,81,34,"3,657",21.14,33,56,19,0,156,91,109,93,62,35,25
Alejandro Garnacho,5,1,1,3,1,0.2,0,0,1,0,0,2,2,100%,0,0,0,33,6.6,0,1,1,0,2,0,2,0,0,0,0
Dwight Gayle,145,26,35,75,26,0.18,3,16,7,2,2,178,66,37%,5,28,7,"1,325",9.14,7,69,9,1,85,37,64,44,28,43,26
Joe Gelhardt,31,2,6,20,2,0.06,0,1,1,0,0,31,12,39%,0,4,3,211,6.81,5,4,5,0,23,5,7,11,0,7,3
Saman Ghoddos,23,1,4,11,1,0.04,0,1,0,0,0,8,3,38%,0,1,1,209,9.09,3,22,2,0,12,0,17,5,3,11,6
Bryan Gil,10,0,5,4,0,10,0,0,0,0,0,1,1,100%,0,0,0,63,6.3,0,6,0,0,1,0,4,0,0,0,0
Alex Gilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilfried Gnonto,3,0,2,1,0,3,0,0,0,0,0,0,0,0%,0,0,1,27,9,1,4,0,0,1,0,4,0,0,2,1
Martial Godo,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonçalo Guedes,12,1,1,7,1,0.08,0,1,0,0,0,19,6,32%,0,0,1,169,14.08,1,27,1,0,10,5,7,6,1,2,0
Lewis Grabban,24,1,6,13,1,0.04,0,1,0,0,0,20,10,50%,0,2,1,328,13.67,0,14,2,0,9,6,12,3,2,1,1
Demarai Gray,182,16,66,76,16,0.09,0,11,4,0,0,233,75,32%,3,10,13,"2,924",16.07,22,491,11,0,56,23,120,84,60,63,16
Erling Haaland,13,18,9,2,18,1.38,3,3,12,3,0,52,28,54%,2,7,3,187,14.38,7,3,2,0,9,4,1,9,1,4,4
Hélder Costa,48,4,17,21,4,0.08,0,1,3,0,0,42,13,31%,0,6,5,750,15.62,3,71,3,0,41,9,43,14,12,10,6
Joe Hugill,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hwang Hee-Chan,41,5,14,20,5,0.12,0,3,2,0,0,32,15,47%,0,4,2,692,16.88,3,9,2,0,34,3,30,10,13,8,6
Hwang Ui-Jo,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelechi Iheanacho,178,38,62,76,38,0.21,6,5,26,0,0,233,96,41%,3,29,21,"2,250",12.64,27,48,8,0,124,46,60,69,17,33,21
Danny Ings,184,67,59,81,67,0.36,9,39,18,10,0,393,161,41%,14,39,19,"2,906",15.79,19,128,19,0,130,79,159,94,47,91,59
Alexander Isak,3,2,0,1,2,0.67,0,2,0,1,0,8,6,75%,0,2,0,35,11.67,0,0,0,0,4,2,4,1,1,1,1
Ivan Cavaleiro,59,6,15,28,6,0.1,2,4,0,1,0,60,21,35%,2,8,1,"1,018",17.25,4,176,3,0,43,15,28,12,23,18,11
Alex Iwobi,198,16,85,71,16,0.08,2,12,2,0,0,209,77,37%,4,15,25,"5,800",29.29,34,271,4,0,77,10,195,67,89,86,33
Jeong Sang-Bin,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raúl Jiménez,123,40,48,42,40,0.33,9,26,5,7,0,319,108,34%,9,31,17,"3,091",25.13,31,70,12,2,135,82,82,72,63,109,87
Joelinton,117,11,38,43,11,0.09,1,5,5,1,0,158,57,36%,5,16,6,"2,783",23.79,9,50,23,0,142,30,172,37,70,116,80
Brennan Johnson,15,2,3,8,2,0.13,0,2,0,1,0,19,9,47%,0,3,0,186,12.4,1,22,2,0,12,9,8,5,2,0,0
Sasa Kalajdzic,1,0,1,0,0,1,0,0,0,0,0,1,0,1%,0,1,0,4,4,0,0,0,0,0,0,0,0,1,0,0
Harry Kane,297,195,166,72,195,0.66,35,118,40,30,1,"1,104",488,44%,35,122,44,"6,491",21.86,73,276,36,0,285,191,179,269,74,226,177
Kayky,1,0,1,0,0,1,0,0,0,0,0,0,0,0%,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0
Moise Kean,32,2,9,13,2,0.06,0,2,0,0,0,31,13,42%,0,4,2,132,4.12,5,14,1,0,28,4,6,5,5,1,1
Ben Knight,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,158,54,75,50,54,0.34,5,42,7,7,1,292,135,46%,5,46,25,"2,956",18.71,21,70,14,0,192,74,135,60,46,65,49
Will Lankshear,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Léo Bonatini,7,0,3,3,0,7,0,0,0,0,0,9,1,11%,0,2,1,57,8.14,0,4,0,0,0,0,1,2,0,0,0
Keane Lewis-Potter,7,0,1,1,0,7,0,0,0,0,0,7,2,29%,0,2,1,58,8.29,2,5,0,0,1,0,0,3,0,2,1
Jürgen Locadia,35,3,7,21,3,0.09,0,1,2,0,0,37,12,32%,1,4,1,402,11.49,1,16,1,0,25,13,16,9,10,9,4
Joe Lolley,6,1,1,2,1,0.17,0,0,1,0,0,3,3,100%,0,0,0,65,10.83,0,8,1,0,3,0,2,0,3,1,0
